"Ca_processed_masked" "Cb_processed_masked" "HK_processed_masked" "β_processed_masked" "β+C_processed_masked" "β+γ+C_processed_masked" "γ_processed_masked" "γ+Ca_processed_masked" "γ+Cb_processed_masked" "γ+Cc-Cf_processed_masked"
"illa" 0.316714901982198 0.199197518568054 0.152808988764045 0.147805047966033 0.10517901468299 0.236173981499705 0.213919522000516 0.18549649295693 0.231128997172069 0.236876466034226
"deo" 0.617047998689456 0.197774679149711 0.170786516853933 0.219353988382712 0.176700744667424 0.158761398674802 0.210231254379818 0.0347805924294244 0.184903197737655 0.154836324139445
"pena" 0.769944847922241 0.086793204518938 0.0539325842696629 0.219353988382712 0.307122722874332 0.137768155874828 0.354073691587062 0.00579676540490406 0.203937350445943 0.161769293877032
"motus" 0.103751433407962 0.224808628098233 0.18876404494382 0.272074260268685 0.0168286423492785 0.229613593124713 0.0811418876553683 0.0231870616196163 0.228409832499456 0.176790728308471
"unde" 0.185660459782668 0.184969124384622 0.251685393258427 0.122386345449582 0.252429635239177 0.286032933149642 0.158595507690038 0.289838270245203 0.174026539047205 0.186034687958587
"deum" 0.136515043957844 0.217694431006517 0.125842696629213 0.227826889221529 0.0757288905717531 0.116774913074854 0.224984324862612 0.150715900527506 0.231128997172069 0.194123152652439
"uidetur" 0.218424070332551 0.21484875216983 0.134831460674157 0.089436175520848 0.130421978206908 0.165321787049793 0.202854719138421 0.197090023766738 0.266478137916032 0.254208890378193
"ille" 0.245727079124119 0.170740730201189 0.224719101123595 0.148746481392568 0.088350372333712 0.174506330774782 0.184413381034928 0.121732073502985 0.149554056993692 0.240342950903019
"peccat" 0.240266477365806 0.177854927292906 0.251685393258427 0.264542792856403 0.0420716058731962 0.0813488158498983 0.0737653524139712 0.179699727552026 0.217533173809006 0.179101718221
"uult" 0.103751433407962 0.220540109843203 0.224719101123595 0.229709756074599 0.0757288905717531 0.149576854949813 0.195478183897024 0.0985450118833691 0.144115727648466 0.15599181909571
"tenetur" 0.125593840441217 0.177854927292906 0.161797752808989 0.167575149923273 0.0210358029365981 0.25585514662468 0.0885184228967654 0.411570343748189 0.122362410267566 0.169857758570884
"similiter" 0.158357450991099 0.106712956375743 0.18876404494382 0.149687914819104 0.168286423492785 0.207308272649741 0.199166451517722 0.110138542693177 0.184903197737655 0.235720971077961
"eius" 0.120133238682903 0.143706781252668 0.206741573033708 0.216529688103106 0.172493584080104 0.169258020074788 0.143842437207244 0.197090023766738 0.127800739612791 0.172168748483413
"utrum" 0.218424070332551 0.122364189977519 0.0808988764044944 0.153453648525245 0.11359333585763 0.150888932624811 0.169660310552134 0.243464147005971 0.233848161844681 0.22763250638411
"uera" 0.147436247474472 0.184969124384622 0.125842696629213 0.170399450202879 0.273465438175775 0.177130486124779 0.276620071552392 0.0231870616196163 0.0734174461605395 0.171013253527148
